[PASS] erase_and_blank_reads
[RUN ] page_program_and_readback
[PASS] page_program_and_readback
[RUN ] read_across_page_boundary
[PASS] read_across_page_boundary
[RUN ] nor_programming_behavior
[PASS] nor_programming_behavior
[RUN ] write_preserves_neighbors
[PASS] write_preserves_neighbors
[RUN ] write_across_sector_boundary
[PASS] write_across_sector_boundary
[RUN ] full_sector_sweep
[sector] 57/4095 erase_us=47193 blank_read_us=9238 write_us=31217 verify_read_us=9240 total_us=96888
[sector] 58/4095 erase_us=45193 blank_read_us=9239 write_us=31216 verify_read_us=9239 total_us=94887
[sector] 59/4095 erase_us=47194 blank_read_us=9239 write_us=31216 verify_read_us=9239 total_us=96888
[sector] 60/4095 erase_us=45194 blank_read_us=9239 write_us=31217 verify_read_us=9240 total_us=94890
[sector] 61/4095 erase_us=45193 blank_read_us=9238 write_us=31217 verify_read_us=9240 total_us=94888
[sector] 62/4095 erase_us=45193 blank_read_us=9238 write_us=31217 verify_read_us=9240 total_us=94888
[sector] 63/4095 erase_us=45193 blank_read_us=9238 write_us=31217 verify_read_us=9240 total_us=94888
[sector] 64/4095 erase_us=47193 blank_read_us=9239 write_us=31217 verify_read_us=9240 total_us=96889
[sector] 65/4095 erase_us=45193 blank_read_us=9238 write_us=31217 verify_read_us=9240 total_us=94888
[sector] 66/4095 erase_us=47193 blank_read_us=9239 write_us=31216 verify_read_us=9239 total_us=96887
[sector] 67/4095 erase_us=47194 blank_read_us=9239 write_us=31216 verify_read_us=9239 total_us=96888
[sector] 68/4095 erase_us=45194 blank_read_us=9239 write_us=31217 verify_read_us=9240 total_us=94890
[sector] 69/4095 erase_us=45193 blank_read_us=9238 write_us=31217 verify_read_us=9240 total_us=94888
[sector] 70/4095 erase_us=45193 blank_read_us=9238 write_us=31217 verify_read_us=9240 total_us=94888
[sector] 71/4095 erase_us=45193 blank_read_us=9238 write_us=31217 verify_read_us=9240 total_us=94888
[sector] 72/4095 erase_us=47193 blank_read_us=9239 write_us=31216 verify_read_us=9239 total_us=96887
[sector] 73/4095 erase_us=45194 blank_read_us=9239 write_us=31217 verify_read_us=9240 total_us=94890
[sector] 74/4095 erase_us=45193 blank_read_us=9238 write_us=31217 verify_read_us=9240 total_us=94888
[sector] 75/4095 erase_us=47193 blank_read_us=9238 write_us=31217 verify_read_us=9240 total_us=96888
[sector] 76/4095 erase_us=45193 blank_read_us=9238 write_us=31217 verify_read_us=9240 total_us=94888
